title,price,image_urls
Ladies Red Sandals Buckle Ankle Straps Peep Toe Summer shoes wedges.,2999,"https://ke.jumia.is/txc1kngbc68xOmnvShBqiTjOXhY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/60/33455/1.jpg?9789"
Sexy Spaghetti Strap Lacework Bodycon Dress For Women - Black,4000,"https://ke.jumia.is/pFF5b1WqJd9Uodz-j8teJSu_tho=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/96/86814/1.jpg?8563"
Grey Bodycon Dress with Front Overlap,1000,"https://ke.jumia.is/Rc_8thiBW6geO2Ma9y33ZdNnB6Y=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/18/87064/1.jpg?5280"
Women Vintage Printed High Waist Pin Up Dress - Purple Mimosa,1200,"https://ke.jumia.is/4TMNKvmmCTJ7f_KEsCDzgZBP2Yg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/70/25665/1.jpg?2545"
Unique Plain Bodycon Dress - Navy Blue,1500,"https://ke.jumia.is/xmM_qApj1_6nKfwT9NwowZEDx2Q=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/35/81714/1.jpg?8692"
Dress Sleeveless O Neck Multi-Colored Off Shoulder Mini Summer Retro Short,1786,"https://ke.jumia.is/9Edh4S4KUfjpSHIDxFhlvFCpqYU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/15/45175/1.jpg?7974"
Official/Casual Bodycon Dress - Navy Blue,2499,"https://ke.jumia.is/PMwciDMYi3-qI8T3iD2Qq3uXcMQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/46/85504/1.jpg?3700"
Black Knee-Length Boots,3000,"https://ke.jumia.is/V044uc2XFxd9rf5a6ruqUdM0qyA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/20/32945/1.jpg?6036"
Women Sexy Cute Lace V-string Briefs Panties Thongs G-string Lingerie Underwear-Beige,3900,"https://ke.jumia.is/e-iiazhTLXPdhQ7oON9CrMEJJQU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/65/04282/1.jpg?2424"
European American Stitching Women Patchwork Hooded Pocket Long-sleeved Sihetun Jacket Jacket Women's Clothing （China Size）,5000,"https://ke.jumia.is/NE3mNU3B9D6I6JNaCv9bQ0ypNog=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/72/63055/1.jpg?1466"
